iter	Passed	Remaining
0	117	17493
1	235	17427
2	343	16855
3	447	16335
4	553	16059
5	655	15732
6	798	16319
7	947	16811
8	1061	16634
9	1164	16305
10	1401	17711
11	1686	19393
12	1832	19308
13	2016	19590
14	2216	19948
15	2441	20447
16	2640	20660
17	2890	21195
18	3094	21338
19	3300	21452
20	3470	21319
21	3651	21245
22	3795	20957
23	3945	20713
24	4066	20331
25	4187	19970
26	4281	19502
27	4406	19201
28	4521	18865
29	4642	18570
30	4759	18269
31	4895	18050
32	5053	17918
33	5181	17678
34	5304	17428
35	5433	17206
36	5573	17021
37	5707	16821
38	5817	16556
39	5930	16307
40	6032	16037
41	6142	15795
42	6249	15550
43	6357	15315
44	6461	15077
45	6569	14852
46	6675	14630
47	6780	14408
48	6892	14207
49	7002	14005
50	7110	13802
51	7221	13610
52	7328	13411
53	7445	13235
54	7616	13156
55	7745	13001
56	7848	12806
57	7955	12619
58	8076	12457
59	8179	12269
60	8279	12079
61	8380	11894
62	8509	11751
63	8614	11575
64	8716	11397
65	8820	11226
66	8969	11111
67	9137	11018
68	9292	10909
69	9410	10755
70	9533	10607
71	9638	10441
72	9739	10272
73	9839	10105
74	9946	9946
75	10045	9781
76	10187	9658
77	10304	9511
78	10404	9350
79	10508	9194
80	10613	9041
81	10719	8889
82	10821	8735
83	11177	8782
84	11327	8662
85	11458	8527
86	11579	8385
87	11681	8230
88	11782	8075
89	11889	7926
90	11994	7776
91	12096	7626
92	12177	7463
93	12277	7314
94	12381	7168
95	12486	7023
96	12590	6879
97	12696	6736
98	12824	6606
99	12947	6473
100	13045	6329
101	13144	6185
102	13269	6054
103	13370	5913
104	13468	5772
105	13571	5633
106	13677	5496
107	13782	5359
108	13883	5222
109	13985	5085
110	14087	4949
111	14186	4813
112	14288	4678
113	14389	4544
114	14492	4410
115	14592	4277
116	14694	4144
117	14798	4013
118	14901	3881
119	15008	3752
120	15110	3621
121	15212	3491
122	15312	3361
123	15428	3234
124	15536	3107
125	15641	2979
126	15743	2851
127	15847	2723
128	15963	2598
129	16129	2481
130	16254	2357
131	16354	2230
132	16457	2103
133	16582	1980
134	16712	1856
135	16845	1734
136	16947	1608
137	17048	1482
138	17169	1358
139	17284	1234
140	17414	1111
141	17526	987
142	17625	862
143	17727	738
144	17809	614
145	17916	490
146	18015	367
147	18123	244
148	18230	122
149	18338	0
